Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,18.230000,19.270000,18.230000,18.709999,15.173633,982652900
2012-02-01,18.940001,19.500000,18.700001,19.049999,15.449369,954007000
2012-03-01,19.150000,21.000000,18.320000,20.070000,16.420544,1064176400
2012-04-01,20.030001,20.110001,18.700001,19.580000,16.019646,842616200
2012-05-01,19.580000,19.950001,18.320000,19.090000,15.618744,964413700
2012-06-01,18.820000,20.840000,18.020000,20.840000,17.050533,1248335000
2012-07-01,20.740000,21.000000,19.360001,20.750000,17.169592,1046050100
2012-08-01,20.860001,21.190001,20.200001,20.709999,17.136494,697543600
2012-09-01,20.629999,22.959999,20.480000,22.709999,18.791391,1014974000
2012-10-01,22.730000,23.180000,20.969999,21.059999,17.559183,910358000
2012-11-01,21.030001,21.780001,19.870001,21.129999,17.617548,830869400
2012-12-01,21.180000,21.950001,20.260000,20.990000,17.500818,903615300
