Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,58.485714,65.462860,58.428570,65.211426,44.145302,1714963600
2012-02-01,65.487144,78.230003,64.854286,77.491432,52.458332,2842138600
2012-03-01,78.309998,88.778572,73.745712,85.650002,57.981327,3896084500
2012-04-01,85.975716,92.000000,79.285713,83.425713,56.475586,3899747600
2012-05-01,83.557144,85.251427,74.597145,82.532860,55.871166,2776586400
2012-06-01,81.308571,84.285713,78.357140,83.428574,56.477512,1963956400
2012-07-01,83.532860,88.552856,81.428574,87.251427,59.065426,2227412600
2012-08-01,87.987144,97.267143,85.750000,95.034286,64.334084,2069051600
2012-09-01,95.108574,100.724289,93.714287,95.300003,66.504158,2299751300
2012-10-01,95.879997,96.678574,83.957146,85.045715,59.348320,3035707500
2012-11-01,85.459999,86.142860,72.250000,83.611427,58.347408,3232462800
2012-12-01,84.807144,84.941429,71.604286,76.024284,54.796783,3033188200
