Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,14.180000,14.650000,14.120000,14.420000,14.420000,87449500
2018-03-06,14.600000,14.670000,14.510000,14.640000,14.640000,58106900
2018-03-07,14.480000,14.590000,14.180000,14.510000,14.510000,82999200
2018-03-08,14.500000,14.640000,14.410000,14.520000,14.520000,49595200
2018-03-09,14.620000,14.950000,14.510000,14.940000,14.940000,64156200
2018-03-12,15.020000,15.330000,14.960000,15.100000,15.100000,70226600
2018-03-13,14.690000,14.740000,14.340000,14.430000,14.430000,118718400
2018-03-14,14.460000,14.590000,14.240000,14.270000,14.270000,57066900
2018-03-15,14.310000,14.550000,14.260000,14.360000,14.360000,47424900
2018-03-16,14.340000,14.420000,14.180000,14.310000,14.310000,114489000
2018-03-19,14.260000,14.280000,14.000000,14.070000,14.070000,66184200
2018-03-20,14.100000,14.110000,13.620000,13.640000,13.640000,88921500
2018-03-21,13.660000,13.960000,13.570000,13.880000,13.880000,65142600
2018-03-22,13.750000,13.790000,13.320000,13.350000,13.350000,71227600
2018-03-23,13.400000,13.450000,13.020000,13.070000,13.070000,84042300
2018-03-26,13.230000,13.240000,12.730000,12.890000,12.890000,105435700
2018-03-27,12.920000,13.720000,12.820000,13.440000,13.440000,154968600
2018-03-28,13.520000,13.950000,13.090000,13.680000,13.680000,139104700
2018-03-29,13.580000,13.660000,13.350000,13.480000,13.480000,74514300
2018-04-02,13.450000,13.540000,12.960000,13.120000,13.120000,72087000
2018-04-03,13.120000,13.140000,12.800000,13.130000,13.130000,59369200
2018-04-04,12.820000,13.300000,12.790000,13.280000,13.280000,57159079
